model,brand,ram,storage,price,processor,gpu,chipset,battery,battery_capacity,ram_storage_combo
nubia RedMagic 10S Pro,nubia,12,256,3999,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Si/C Li-Ion 7050 mAh battery80W wired,7050.0,3072
nubia RedMagic 10S Pro (Variant 1),nubia,16,512,4899,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),Si/C Li-Ion 7050 mAh battery80W wired,7050.0,8192
nubia RedMagic 10S Pro (Variant 2),nubia,24,1024,5999,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),Si/C Li-Ion 7050 mAh battery80W wired,7050.0,24576
Oppo A5i,Oppo,4,128,399,Octa-core (4x2.1 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Adreno 610,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),"5100mAh/19.95Wh, 45W SUPERVOOC TM Flash Charge, USB Type-C",5100.0,512
Realme P3 Ultra,Realme,12,256,1699,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 Ultra (4 nm),"Si/C Li-Ion 6000 mAh battery80W wired, PD, 100% in 47 min\r\n5W reverse wired\r\nBypass charging",6000.0,3072
realme C71,realme,6,128,499,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T7250 (12 nm),"6300 mAh battery45W wired, 50% in 36 min\r\n6W reverse wired",6300.0,768
Honor X6c,Honor,16,256,599,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G81 Ultra (12 nm),Li-Po 5300 mAh battery35W wired,5300.0,4096
iQOO Neo 10,iQOO,12,256,1999,Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),"Si/C Li-Ion 7000 mAh battery120W wired, 100W PD, 100W PPS, 50% in 15 min, 100% in 36 min\r\nReverse wired\r\nBypass Charging",7000.0,3072
iQOO Neo 10 (Variant 1),iQOO,16,512,2199,Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),"Si/C Li-Ion 7000 mAh battery120W wired, 100W PD, 100W PPS, 50% in 15 min, 100% in 36 min\r\nReverse wired\r\nBypass Charging",7000.0,8192
Realme GT 7 Dream Edtion,Realme,16,512,2999,Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9400e (4 nm),"Si/C Li-Ion 7000 mAh battery120W wired, 14 min to 50%, 40 min to 100%\r\n7.5W reverse wired\r\nBypass charging",7000.0,8192
Realme GT 7T,Realme,12,256,1999,Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),Mali-G720 MC7,Mediatek Dimensity 8400 Max (4 nm),Si/C Li-Ion 7000 mAh battery120W wired\r\nBypass charging,7000.0,3072
Realme GT 7,Realme,12,512,2599,Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9400e (4 nm),"Si/C Li-Ion 7000 mAh battery120W wired, 14 min to 50%, 40 min to 100%\r\n7.5W reverse wired\r\nBypass charging",7000.0,6144
HONOR 400 Pro,HONOR,12,512,2699,Octa-core (1x3.0 GHz Cortex-X4 & 5x2.95 GHz Cortex-A720 & 2x2.0 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"Si/C Li-Ion 5300 mAh - EuropeSi/C Li-Ion 6000 mAh - UAE battery100W wired, 51% in 15 min, 100% in 39 min\r\n50W wireless\r\n5W reverse wired\r\nReverse wireless",5300.0,6144
HONOR 400,HONOR,12,256,1899,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),"Si/C Li-Ion 5300 mAh - EuropeSi/C Li-Ion 6000 mAh - UAE battery66W wired (for 5300 mAh), 44% in 15 min, 100% in 46 min\r\n66W wired (for 6000 mAh), 44% in 15 min, 100% in 46 min\r\n5W reverse wired",5300.0,3072
HONOR 400 (Variant 1),HONOR,12,512,2199,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),"Si/C Li-Ion 5300 mAh - EuropeSi/C Li-Ion 6000 mAh - UAE battery66W wired (for 5300 mAh), 44% in 15 min, 100% in 46 min\r\n66W wired (for 6000 mAh), 44% in 15 min, 100% in 46 min\r\n5W reverse wired",5300.0,6144
Infinix GT 30 Pro,Infinix,12,256,1299,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 Ultimate (4 nm),5200 mAh or 5500 mAh battery45W wired\r\n30W wireless\r\n10W reverse wired\r\n5W reverse wireless\r\nBypass Charging 2,5200.0,3072
Infinix GT 30 Pro (Variant 1),Infinix,8,12,1499,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 Ultimate (4 nm),5200 mAh or 5500 mAh battery45W wired\r\n30W wireless\r\n10W reverse wired\r\n5W reverse wireless\r\nBypass Charging 2,5200.0,96
Redmi 13x,Redmi,8,256,599,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G91 Ultra (12 nm),5030 mAh battery33W wired,5030.0,2048
Realme 14T,Realme,8,256,999,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"6000 mAh battery45W wired, 50% in 30 min",6000.0,2048
OPPO Pad SE,OPPO,4,128,699,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G100 (6 nm),"9340 mAh battery33W wired, 33W UFCS, PD",9340.0,512
nubia RedMagic 10 Air,nubia,12,256,3199,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"6000 mAh battery80W wired, 100% in 52 min",6000.0,3072
nubia RedMagic 10 Air (Variant 1),nubia,16,512,3299,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"6000 mAh battery80W wired, 100% in 52 min",6000.0,8192
vivo V50 Lite,vivo,16,256,1299,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"Si/C Li-Ion 6500 mAh battery90W wired, 50% in 23 min, 100% in 52 min
6W reverse wired",6500.0,4096
vivo V50 Lite (Variant 1),vivo,24,256,1499,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"Si/C Li-Ion 6500 mAh battery90W wired, 50% in 23 min, 100% in 52 min
6W reverse wired",6500.0,6144
vivo V50 Lite (Variant 2),vivo,24,512,1399,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"Si/C Li-Ion 6500 mAh battery90W wired, 50% in 23 min, 100% in 52 min
6W reverse wired",6500.0,12288
Nothing CMF Phone 2 Pro,Nothing,8,256,1199,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Pro (4 nm),"5000 mAh battery33W wired
5W reverse wired",5000.0,2048
HONOR 400 Lite,HONOR,12,24,1298,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,Mediatek Dimensity 7025 Ultra (6 nm),Li-Po 5230 mAh battery35W wired,5230.0,288
Poco C71,Poco,3,64,269,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T7250 (12 nm),5200 mAh battery15W wired,5200.0,192
Poco C71 (Variant 1),Poco,4,128,399,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T7250 (12 nm),5200 mAh battery15W wired,5200.0,512
HONOR GT Pro,HONOR,12,12,2099,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C Li-Ion 7200 mAh battery90W wired
5W reverse wired",7200.0,144
Infinix Note 50s,Infinix,8,8,899,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Ultimate (4 nm),"5500 mAh battery45W wired, 100% in 60 min
10W reverse wired
Bypass Charging",5500.0,64
Infinix Note 50x,Infinix,8,8,692,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Ultimate (4 nm),"5500 mAh battery45W wired
10W reverse wired
Bypass Charging",5500.0,64
Infinix Note 50 Pro Plus,Infinix,12,256,1599,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 (4 nm),"Si/C Li-Ion 5200 mAh battery100W wired, 100% in 32 min
50W wireless MagCharge
10W reverse wired
7.5w reverse wireless
Bypass Charging",5200.0,3072
vivo Y04,vivo,8,128,399,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MP1,Unisoc T7225 (12 nm),Li-Ion 5500 mAh battery15W wired,5500.0,1024
Redmi A5 4G,Redmi,4,128,280,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T7250 (12 nm),5200 mAh battery15W wired,5200.0,512
Redmi A5 4G (Variant 1),Redmi,4,128,280,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T7250 (12 nm),5200 mAh battery15W wired,5200.0,512
Realme 14 Pro,Realme,12,256,1499,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Energy (4 nm),"Si/C Li-Ion 6000 mAh battery45W wired, 50% in 36 min",6000.0,3072
Realme 14 Pro (Variant 1),Realme,12,512,1799,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Energy (4 nm),"Si/C Li-Ion 6000 mAh battery45W wired, 50% in 36 min",6000.0,6144
Realme 14,Realme,8,256,1199,Octa-core (1x2.3 GHz Cortex-A720s & 3x2.2 GHz Cortex-A720s & 4x1.8 GHz Cortex-A520s),Adreno,Qualcomm Snapdragon 6 Gen 4 (4 nm),"Si/C Li-Ion 6000 mAh battery45W wired, 50% in 30 min
Bypass charging",6000.0,2048
Realme 14 (Variant 1),Realme,12,256,1299,Octa-core (1x2.3 GHz Cortex-A720s & 3x2.2 GHz Cortex-A720s & 4x1.8 GHz Cortex-A520s),Adreno,Qualcomm Snapdragon 6 Gen 4 (4 nm),"Si/C Li-Ion 6000 mAh battery45W wired, 50% in 30 min
Bypass charging",6000.0,3072
nubia Neo 3,nubia,8,256,999,Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G57 MP2,Unisoc T8300 (6 nm),"6000 mAh or 5000 mAh battery33W wired
Bypass Charging",6000.0,2048
nubia Neo 3 GT,nubia,12,12,1199,Octa-core (1x2.7 GHz Cortex-A76 & 3x2.3 GHz Cortex-A76 & 4x2.1 GHz Cortex-A55),Mali-G57,Unisoc T9100 (6 nm),"6000 mAh or 5000 mAh battery80W wired
Bypass Charging",6000.0,144
TECNO Camon 40 Pro 5G,TECNO,12,256,1099,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 (4 nm),"5200 mAh battery45W wired, 50% in 23 min, 100% in 43 min",5200.0,3072
Poco M7 Pro 5G,Poco,12,256,999,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,Mediatek Dimensity 7025 Ultra (6 nm),Li-Po 5110 mAh battery45W wired,5110.0,3072
Poco M7 Pro 5G (Variant 1),Poco,12,256,999,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,Mediatek Dimensity 7025 Ultra (6 nm),Li-Po 5110 mAh battery45W wired,5110.0,3072
Poco F7 Ultra,Poco,16,512,2799,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"5300 mAh battery120W wired, PD3.0, QC3+, 100% in 34 min
50W wireless",5300.0,8192
Poco F7 Ultra (Variant 1),Poco,16,512,2799,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"5300 mAh battery120W wired, PD3.0, QC3+, 100% in 34 min
50W wireless",5300.0,8192
Poco F7 Pro,Poco,12,512,2099,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"6000 mAh battery90W wired, PD3.0, QC3+, 100% in 37 min",6000.0,6144
Poco F7 Pro (Variant 1),Poco,12,512,2099,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"6000 mAh battery90W wired, PD3.0, QC3+, 100% in 37 min",6000.0,6144
OPPO Find X8 Ultra,OPPO,16,512,5199,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C Li-Ion 6100 mAh battery100W wired, 18W PD, 18W QC, 55W PPS
50W wireless
10W reverse wireless",6100.0,8192
TECNO Camon 40 Pro 4G,TECNO,8,256,839,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G100 Ultimate (6 nm),"5200 mAh battery45W wired, 50% in 23 min, 100% in 43 min",5200.0,2048
Google Pixel 9a,Google,8,128,2579,Octa-core (1x3.1 GHz Cortex-X4 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Mali-G715 MP7,Google Tensor G4 (4 nm),"Li-Po 5100 mAh battery23W wired, PD3.0
7.5W wireless
Bypass charging (w/ ""Limit to 80%"" option enabled)",5100.0,1024
ASUS ROG Phone 9 FE,Asus,12,256,2999,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"5500 mAh battery65W wired, PD3.0, PPS, QC5, 100% in 39 min
15W wireless (Qi)
10W reverse wired",5500.0,3072
vivo V50,vivo,8,256,1899,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),"Si/C 6000 mAh battery90W wired, PD
Reverse wired",6000.0,2048
vivo V50 (Variant 1),vivo,12,256,1999,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),"Si/C 6000 mAh battery90W wired, PD
Reverse wired",6000.0,3072
vivo V50 (Variant 2),vivo,12,512,2399,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),"Si/C 6000 mAh battery90W wired, PD
Reverse wired",6000.0,6144
Samsung Galaxy A26,Samsung,8,256,1099,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,Exynos 1380 (5 nm),5000 mAh battery25W wired,5000.0,2048
Samsung Galaxy A26 (Variant 1),Samsung,8,256,1099,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,Exynos 1380 (5 nm),5000 mAh battery25W wired,5000.0,2048
Samsung Galaxy A36,Samsung,6,128,1249,Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),"5000 mAh battery45W wired, 66% in 30 min, 100% in 68 min",5000.0,768
Samsung Galaxy A36 (Variant 1),Samsung,12,256,1419,Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),"5000 mAh battery45W wired, 66% in 30 min, 100% in 68 min",5000.0,3072
Samsung Galaxy A56,Samsung,12,256,1919,Octa-core (1x2.9 GHz & 3x2.6 GHz & 4x1.9 GHz),Xclipse 540,Exynos 1580 (4 nm),"5000 mAh battery45W wired, 65% in 30 min, 100% in 68 min",5000.0,3072
Samsung Galaxy A56 (Variant 1),Samsung,12,256,1919,Octa-core (1x2.9 GHz & 3x2.6 GHz & 4x1.9 GHz),Xclipse 540,Exynos 1580 (4 nm),"5000 mAh battery45W wired, 65% in 30 min, 100% in 68 min",5000.0,3072
Oppo A5 Pro,Oppo,8,256,849,8 cores,Adreno™ 610@1050MHz,Qualcomm Snapdragon 6s 4G Gen 1,"5800 mAh battery45W wired, 50% in 35 min",5800.0,2048
Oppo A5 Pro 5G,Oppo,8,256,940,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"5800 mAh battery45W wired, 50% in 35 min",5800.0,2048
Nothing Phone 3a Pro,Nothing,12,256,1949,Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 710 (940 MHz),Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),"5000 mAh battery50W wired, 50% in 19 min, 100% in 56 min",5000.0,3072
Nothing Phone 3a,Nothing,12,256,1669,Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 710 (940 MHz),Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),"5000 mAh battery50W wired, 50% in 19 min, 100% in 56 min",5000.0,3072
realme C75x,realme,8,16,575,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,MediaTek Helio G81 Ultra Chipset,"45W Fast Charge, 5600mAh Massive Battery, USB Type-C Port",5600.0,128
Samsung Galaxy A06 5G,Samsung,6,128,699,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),5000 mAh battery25W wired,5000.0,768
Infinix Note 50 Pro 4G,Infinix,8,12,1759,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G100 Ultimate (6 nm),"5200 mAh battery90W wired, 100% in 38 min
30W wireless MagCharge
10W Reverse wired
Reverse wireless
Bypass Charging",5200.0,96
Xiaomi 15 Ultra,Xiaomi,16,512,4630,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C Li-Ion 5410 mAh - GlobalSi/C Li-Ion 6000 mAh - China battery90W wired, PD3.0, QC3+
80W wireless
10W reverse wireless",5410.0,8192
Xiaomi 15 Ultra (Variant 1),Xiaomi,16,1024,5399,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C Li-Ion 5410 mAh - GlobalSi/C Li-Ion 6000 mAh - China battery90W wired, PD3.0, QC3+
80W wireless
10W reverse wireless",5410.0,16384
Xiaomi 15,Xiaomi,12,256,3299,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C Li-Ion 5240 mAh - GlobalSi/C Li-Ion 5400 mAh - China battery90W wired, PD3.0, QC3+
50W wireless
10W reverse wireless",5240.0,3072
Xiaomi 15 (Variant 1),Xiaomi,12,512,3499,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C Li-Ion 5240 mAh - GlobalSi/C Li-Ion 5400 mAh - China battery90W wired, PD3.0, QC3+
50W wireless
10W reverse wireless",5240.0,6144
HMD Crest,HMD,8,256,799,Octa-core (1x2.2 GHz Cortex-A76 & 3x Cortex-A76 & 4x Cortex-A55),Mali-G57,Unisoc T760 (6 nm),"5000 mAh, user replaceable battery33W wired",5000.0,2048
vivo Y39 5G,vivo,8,8,963,Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),"Li-Ion 6500 mAh battery44W wired, 50% in 41 min, 100% in 92 min
Reverse wired",6500.0,64
vivo Y29 4G,vivo,8,8,789,Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Qualcomm SM6225 Snapdragon 685 (6 nm),"Li-Ion 6500 mAh battery44W wired, 50% in 41 min, 100% in 92 min
Reverse wired",6500.0,64
nubia RedMagic 10 Pro Dusk Ultra,nubia,24,1024,5999,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Si/C Li-Ion 7050 mAh (Global)Si/C Li-Ion 6500 mAh (China only) battery100W wired - International
80W wired - China only version",7050.0,24576
Oppo Find N5,Oppo,16,512,7997,7-core (2x4.32 GHz Oryon V2 Phoenix L + 5x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-3-AB Snapdragon 8 Elite (3 nm),"Si/C Li-Ion 5600 mAh battery80W wired, 13.5W PD, 100% in 50 min
50W wireless
Reverse wired",5600.0,8192
Apple iPhone 16e,Apple,8,128,2879,Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (4-core graphics),Apple A18 (3 nm),"Li-Ion batteryWired, 50% in 30 min
7.5W wireless (Qi)",,1024
Apple iPhone 16e (Variant 1),Apple,8,256,3499,Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (4-core graphics),Apple A18 (3 nm),"Li-Ion batteryWired, 50% in 30 min
7.5W wireless (Qi)",,2048
Apple iPhone 16e (Variant 2),Apple,8,512,4499,Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (4-core graphics),Apple A18 (3 nm),"Li-Ion batteryWired, 50% in 30 min
7.5W wireless (Qi)",,4096
nubia V70 Max,nubia,6,128,398,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T606 (12 nm),6000 mAh battery22.5W wired,6000.0,768
TECNO Spark Go 1S,TECNO,3,64,319,Octa-core 2.2 GHz Cortex-A53,PowerVR GE8320,Mediatek Helio G50,5000 mAh battery15W wired,5000.0,192
Realme 14x,Realme,8,128,829,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"6000 mAh battery45W wired
5W reverse wired",6000.0,1024
Realme 14x (Variant 1),Realme,8,256,1099,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"6000 mAh battery45W wired
5W reverse wired",6000.0,2048
Samsung Galaxy S25 Ultra,Samsung,12,256,5299,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Li-Ion 5000 mAh battery45W wired, PD3.0, 65% in 30 min
25W wireless (Qi2)
4.5W reverse wireless",5000.0,3072
Samsung Galaxy S25 Ultra (Variant 1),Samsung,12,512,5398,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Li-Ion 5000 mAh battery45W wired, PD3.0, 65% in 30 min
25W wireless (Qi2)
4.5W reverse wireless",5000.0,6144
Samsung Galaxy S25 Ultra (Variant 2),Samsung,12,1024,7799,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Li-Ion 5000 mAh battery45W wired, PD3.0, 65% in 30 min
25W wireless (Qi2)
4.5W reverse wireless",5000.0,12288
Samsung Galaxy S25 Plus,Samsung,12,256,4299,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),"Li-Ion 4900 mAh battery45W wired, PD3.0, 65% in 30 min
15W wireless (Qi2)
4.5W reverse wireless",4900.0,3072
